@RELATION heartbeats
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {artifact__,Aunlabelledtest__,Bunlabelledtest__,extrahls__,extrastole__,murmur__,murmur_noisymurmur_,normal__,normal_noisynormal_}

@DATA
0.007064,0.028692,2.508501,0.062806,0.144808,0.015639,0.022760,0.008899,-29.540829,3.710891,-0.152265,1.105171,0.216203,0.336822,0.246336,-0.139270,0.159095,0.123665,0.011962,0.111707,0.013628,0.005918,0.000410,0.119147,0.003454,0.025908,0.002971,0.156639,0.000422,0.001440,0.009056,0.052353,0.000618,0.056798,0.000010,0.000939,-0.006613,-0.000846,-0.001001,-0.000387,0.000285,-0.000003,0.086172,0.024809,0.004257,-0.006752,0.008892,0.010045,-0.003241,-0.002799,-0.001055,-0.003217,-0.003069,-0.001748,-0.000232,0.000053,-0.000006,0.000297,-0.000019,-0.000696,0.000034,0.000297,-0.000009,-0.000021,0.000014,0.000685,-0.000005,0.000115,0.002750,0.055916,0.502264,0.035754,0.052657,0.029269,0.011999,0.005086,2.364940,0.823357,0.750973,0.495045,0.263214,0.197252,0.174504,0.238286,0.172015,0.147966,0.149163,0.153062,0.132189,0.005987,0.000451,0.062496,0.005733,0.018978,0.003931,0.069840,0.000564,0.001958,0.010016,0.038672,0.000762,0.014858,0.003768,0.079899,0.684024,0.047330,0.067860,0.040756,0.014580,0.006765,2.785921,1.110427,0.895289,0.554313,0.346249,0.247613,0.228900,0.287572,0.192444,0.210963,0.204429,0.213594,0.182596,0.008720,0.000614,0.083348,0.008224,0.024474,0.005199,0.091469,0.000663,0.002790,0.015496,0.055537,0.000978,0.020663,Bunlabelledtest__
0.009488,0.010827,2.695515,0.063059,0.141029,0.013514,0.021515,0.013725,-28.613667,3.919381,-0.623981,0.854553,0.171538,0.354324,0.014208,-0.337868,0.234836,0.066493,-0.131069,0.049545,-0.003046,0.007338,0.001157,0.144603,0.005807,0.022586,0.003486,0.155500,0.001050,0.003438,0.011012,0.024164,0.001532,0.059100,-0.000096,0.000024,-0.010060,-0.000990,-0.001241,-0.000702,0.000174,-0.000306,-0.014393,0.010347,-0.007502,0.005747,-0.000169,0.002125,0.001344,-0.000291,0.001796,0.000027,0.001456,0.001083,0.000003,-0.000063,-0.000085,0.001439,-0.000617,-0.000116,-0.000022,0.002070,-0.000025,-0.000148,-0.000142,-0.000527,-0.000061,0.000649,0.004709,0.016663,0.437678,0.034775,0.054675,0.019890,0.014467,0.009486,1.397199,0.936401,0.677105,0.409669,0.273887,0.185378,0.160041,0.254406,0.163097,0.164157,0.175013,0.135795,0.127990,0.008276,0.001331,0.078916,0.008555,0.020191,0.004183,0.073331,0.001390,0.004308,0.012626,0.013963,0.001510,0.020749,0.005204,0.022455,0.619627,0.045221,0.070844,0.026078,0.019807,0.010401,1.731428,1.245215,0.811451,0.544335,0.367981,0.228638,0.201480,0.302630,0.222138,0.249414,0.273229,0.183328,0.159112,0.010933,0.001595,0.109133,0.011130,0.029927,0.005813,0.100355,0.001787,0.005460,0.019198,0.019980,0.001823,0.023507,Bunlabelledtest__
0.006720,0.024539,2.645555,0.069275,0.150593,0.019226,0.025393,0.010975,-28.765775,3.632365,-0.416703,0.916047,0.149252,0.244278,0.363271,0.045027,0.143784,0.075778,-0.033249,0.080129,-0.010184,0.005475,0.001023,0.123281,0.004303,0.021630,0.002444,0.175994,0.000491,0.001406,0.007093,0.045364,0.000998,0.062715,0.000277,-0.001944,0.006902,0.001415,0.001034,0.001846,0.000624,0.000277,-0.091295,-0.000530,-0.003908,-0.003200,-0.008621,-0.011440,-0.008146,-0.002445,0.002301,0.000458,-0.003900,-0.002922,-0.001668,0.000150,0.000037,-0.000385,0.000083,0.000387,0.000162,-0.002397,0.000014,0.000128,0.000977,-0.001475,0.000022,-0.000790,0.003487,0.051119,0.348094,0.040253,0.059769,0.034193,0.017661,0.008791,2.080085,0.896104,0.908699,0.416679,0.299714,0.258585,0.228250,0.224871,0.144377,0.164052,0.154197,0.152320,0.145926,0.006399,0.001433,0.075725,0.004796,0.016866,0.002903,0.087153,0.000771,0.001951,0.008175,0.034145,0.001402,0.019808,0.004237,0.069627,0.482597,0.059261,0.090056,0.048132,0.026028,0.012538,2.547796,1.344028,1.134979,0.573087,0.439299,0.409127,0.296441,0.305854,0.191584,0.204383,0.170591,0.211111,0.170678,0.009173,0.002131,0.098433,0.006490,0.023853,0.003929,0.123728,0.001112,0.002832,0.010622,0.048194,0.002113,0.027246,Bunlabelledtest__
0.008717,0.034566,2.782147,0.068930,0.153675,0.015580,0.024659,0.013307,-26.406113,4.179506,-0.169929,0.389134,0.060750,0.089261,0.130608,0.036815,0.060007,0.078042,-0.006912,0.066993,0.025498,0.012378,0.002409,0.093633,0.010280,0.023054,0.009318,0.142682,0.000614,0.005255,0.012922,0.041935,0.002941,0.049486,-0.000074,-0.000250,-0.000921,0.000674,0.000955,0.000270,0.000095,-0.000104,-0.032554,-0.021690,0.010235,0.003771,-0.000295,0.001460,-0.000475,0.002272,0.002983,0.001668,0.001855,0.001059,0.000213,-0.000223,-0.000024,0.000408,0.000044,-0.000409,-0.000183,0.001928,-0.000007,-0.000299,-0.000129,0.000137,-0.000061,0.000432,0.004000,0.037846,0.388649,0.032879,0.051296,0.017564,0.020351,0.006935,2.148256,1.049719,0.602855,0.418051,0.232470,0.236380,0.250783,0.178916,0.177252,0.161764,0.140520,0.148860,0.147119,0.015188,0.003359,0.065472,0.012773,0.017850,0.011586,0.098716,0.000801,0.007091,0.014074,0.026927,0.004028,0.025755,0.004081,0.054326,0.479927,0.043820,0.067909,0.024138,0.026487,0.007295,1.828898,1.170693,0.753034,0.461495,0.280091,0.271836,0.293486,0.243750,0.234682,0.214399,0.204382,0.196648,0.203815,0.018400,0.004414,0.078162,0.014417,0.023291,0.014651,0.104565,0.001094,0.008438,0.016988,0.040783,0.004805,0.024839,Bunlabelledtest__
0.010655,0.022224,2.694696,0.055773,0.128789,0.009226,0.023932,0.014873,-28.382011,4.149524,-0.743227,0.821085,0.147922,0.206586,0.220459,-0.082782,0.104027,0.012158,-0.028783,0.086874,-0.011997,0.010258,0.002322,0.121040,0.006697,0.022068,0.006673,0.127223,0.001315,0.005407,0.011563,0.037717,0.002215,0.050092,0.000139,-0.000024,-0.010230,-0.001296,-0.002457,-0.000384,0.000469,0.000047,-0.069274,0.020293,-0.031871,0.033822,-0.013737,-0.001768,-0.001159,-0.012237,0.013175,-0.000398,-0.002594,0.000527,0.003248,0.000014,-0.000013,0.002019,0.000041,-0.000418,-0.000006,0.002131,0.000001,0.000024,0.000236,-0.002233,-0.000001,0.000544,0.005717,0.043920,0.449439,0.028598,0.053345,0.012460,0.019164,0.010899,2.501684,1.077974,0.782383,0.709786,0.298812,0.310473,0.283473,0.234484,0.233601,0.175580,0.176018,0.165194,0.164589,0.012662,0.003205,0.083601,0.007158,0.014260,0.008580,0.078297,0.002003,0.007998,0.010701,0.029613,0.003099,0.024573,0.005623,0.065060,0.539052,0.039005,0.073916,0.016255,0.027399,0.009840,2.181977,1.343270,0.918604,0.617702,0.392497,0.340956,0.287879,0.335542,0.302453,0.275138,0.255360,0.236913,0.223433,0.016474,0.003242,0.105042,0.008508,0.021265,0.008302,0.093356,0.002439,0.009006,0.015651,0.040361,0.003545,0.023894,Bunlabelledtest__
0.012865,0.011807,2.582984,0.071500,0.150878,0.020955,0.020824,0.020100,-28.639736,3.689285,-0.663609,0.751652,-0.005090,0.227608,0.203275,-0.160618,0.115523,0.093552,0.095585,0.212150,0.012683,0.006618,0.002060,0.088274,0.005222,0.026985,0.015636,0.139412,0.001849,0.006101,0.008540,0.035726,0.001984,0.047808,0.000003,0.000337,-0.006503,0.000442,0.000884,0.000157,-0.000224,-0.000050,0.053744,-0.008076,0.016310,-0.006106,-0.000892,-0.000596,-0.002205,0.002234,-0.002121,0.000652,0.000723,-0.001915,-0.000638,0.000074,0.000007,-0.001219,0.000009,0.000302,0.000044,0.000350,-0.000002,-0.000007,-0.000015,0.000050,0.000004,-0.000213,0.005497,0.022903,0.576629,0.032286,0.049799,0.027762,0.015176,0.011211,1.957129,0.833663,0.756769,0.525906,0.359825,0.264445,0.239715,0.282591,0.202332,0.202645,0.185982,0.164105,0.152642,0.005886,0.002651,0.057223,0.005302,0.016774,0.025692,0.069412,0.002663,0.007192,0.006264,0.024630,0.002125,0.017052,0.006709,0.033732,0.746189,0.045885,0.071228,0.040336,0.019259,0.013632,2.318181,1.148972,0.955508,0.661959,0.426161,0.352749,0.348029,0.355469,0.282034,0.257300,0.250093,0.234469,0.206507,0.008067,0.003762,0.076066,0.007108,0.023318,0.032928,0.090960,0.003825,0.009001,0.008189,0.036292,0.002673,0.021111,Bunlabelledtest__
0.006641,0.011025,2.626796,0.070886,0.158121,0.015038,0.021668,0.010141,-29.013744,3.691460,-0.273922,0.636291,0.208781,0.319158,0.086693,-0.096400,0.210982,0.132552,-0.009765,0.100400,0.018621,0.004389,0.000787,0.126916,0.003383,0.023529,0.003184,0.192707,0.000390,0.003004,0.006855,0.030457,0.001422,0.065466,-0.000062,-0.000015,0.003961,-0.000632,-0.001015,-0.000169,0.000075,0.000011,-0.033285,0.013117,-0.006621,0.010340,-0.003865,0.000634,0.004985,-0.003433,0.005713,-0.001790,-0.003935,0.002242,0.000056,-0.000038,-0.000011,0.000700,-0.000034,-0.000605,-0.000010,0.001190,0.000002,-0.000004,0.000017,-0.000278,0.000004,0.000343,0.002715,0.019863,0.434309,0.031906,0.049340,0.015564,0.014874,0.006363,1.682467,0.833937,0.660015,0.412615,0.292741,0.262781,0.175594,0.221768,0.179173,0.184048,0.147520,0.123733,0.129149,0.004161,0.001057,0.072412,0.002988,0.018371,0.003046,0.082923,0.000533,0.003581,0.006267,0.024345,0.001828,0.018257,0.003181,0.029179,0.543971,0.043107,0.064664,0.021665,0.018513,0.007990,1.920836,1.168049,0.851640,0.545101,0.402693,0.336878,0.246270,0.283709,0.256321,0.263079,0.217205,0.163884,0.176888,0.005980,0.001361,0.094766,0.003957,0.025454,0.004252,0.111846,0.000772,0.004678,0.007898,0.037119,0.002403,0.024622,Bunlabelledtest__
0.005547,0.016608,2.656903,0.077570,0.164961,0.018197,0.018080,0.007554,-29.385907,3.336230,-0.081292,1.101557,0.207838,0.166804,0.245116,0.116785,0.260056,0.141864,-0.025447,0.089819,0.086116,0.003357,0.000446,0.143577,0.002273,0.018266,0.001778,0.163887,0.000244,0.000721,0.004360,0.061770,0.000584,0.064073,0.000034,-0.000005,-0.003408,-0.000965,-0.002107,-0.000141,0.000331,-0.000023,-0.027908,0.037151,-0.012666,0.019668,-0.016104,-0.005998,-0.001265,-0.010443,-0.004680,-0.008356,0.003349,0.004462,0.002902,0.000146,-0.000003,-0.001879,0.000119,-0.000266,0.000027,-0.000295,-0.000001,-0.000001,-0.000127,0.001887,-0.000013,-0.000037,0.002704,0.033901,0.318879,0.035711,0.055273,0.016299,0.010727,0.004130,2.289049,0.757891,0.599947,0.497699,0.281929,0.178507,0.149576,0.178558,0.163362,0.128266,0.139980,0.113008,0.134535,0.002585,0.000451,0.069239,0.002465,0.012151,0.002649,0.077210,0.000184,0.000837,0.003709,0.040452,0.000619,0.012724,0.003430,0.047365,0.378144,0.045516,0.067887,0.022258,0.013228,0.004985,2.372184,0.947606,0.651395,0.556826,0.347685,0.234970,0.197296,0.222748,0.237781,0.178608,0.207287,0.155945,0.180827,0.003534,0.000537,0.092622,0.003675,0.016473,0.003823,0.096419,0.000224,0.001247,0.004890,0.060066,0.000877,0.015812,Bunlabelledtest__
0.006022,0.018829,2.540831,0.080868,0.172228,0.019924,0.022923,0.009040,-28.916439,3.329509,-0.173961,0.834140,0.277943,0.300213,0.201267,-0.095181,0.119598,0.153674,0.000430,0.094798,0.022213,0.006106,0.000504,0.123771,0.003339,0.024267,0.003345,0.180456,0.000436,0.001626,0.006787,0.041256,0.000728,0.063950,-0.000007,-0.000242,0.010294,-0.000047,-0.000125,-0.000019,0.000602,0.000034,-0.015057,0.007196,-0.003892,-0.003059,-0.006066,0.001624,0.003216,-0.002373,0.003105,-0.001712,-0.007153,-0.000797,0.002765,0.000022,0.000001,-0.001128,-0.000026,-0.000054,-0.000048,0.001442,-0.000013,0.000004,0.000043,-0.000203,-0.000001,0.000321,0.002997,0.033592,0.482674,0.033719,0.044752,0.021310,0.016696,0.005696,2.723696,0.717299,0.580918,0.364238,0.212106,0.182706,0.191143,0.205029,0.167460,0.168497,0.139673,0.126033,0.124102,0.008073,0.000519,0.075349,0.004389,0.017386,0.004912,0.097088,0.000592,0.001953,0.007002,0.028949,0.000828,0.021133,0.003710,0.047855,0.678972,0.046448,0.063424,0.028822,0.020564,0.006993,3.291926,0.966987,0.751528,0.516067,0.264048,0.255884,0.246602,0.251897,0.238499,0.214684,0.192202,0.159827,0.179131,0.010049,0.000719,0.109111,0.005547,0.023070,0.006672,0.124308,0.000792,0.002620,0.009432,0.041674,0.001162,0.024317,Bunlabelledtest__
0.018496,0.014265,2.785341,0.071765,0.142905,0.016028,0.016418,0.034179,-27.763294,2.824718,-1.024472,1.605323,-0.157876,0.137616,0.204556,-0.155808,0.343536,0.050745,-0.048884,0.069138,-0.019919,0.006151,0.001655,0.116549,0.003731,0.018715,0.002326,0.172531,0.003715,0.002450,0.007335,0.026967,0.001972,0.059483,0.000211,-0.000082,0.011360,-0.000922,-0.002371,-0.000564,-0.000640,0.000422,-0.022622,0.008092,-0.023235,0.002476,-0.014934,0.000644,-0.007876,-0.005222,0.001493,0.004299,0.002961,-0.010253,-0.005912,-0.000038,-0.000012,0.001695,-0.000133,-0.000347,0.000015,-0.000624,-0.000015,0.000019,0.000021,-0.000325,0.000042,0.000018,0.008384,0.028207,0.437260,0.028437,0.047719,0.017564,0.012432,0.020066,1.240439,0.611991,0.666825,0.541353,0.279537,0.199737,0.195142,0.202830,0.185088,0.160727,0.125706,0.155048,0.152310,0.006943,0.001768,0.070030,0.003341,0.016120,0.002205,0.085932,0.003422,0.002147,0.007285,0.021218,0.001720,0.019752,0.009873,0.038581,0.558120,0.039366,0.064706,0.024970,0.014194,0.021900,1.561752,0.905029,0.812665,0.701740,0.412237,0.290942,0.274146,0.238124,0.263389,0.200086,0.189576,0.207377,0.204145,0.009519,0.002383,0.099555,0.004056,0.022033,0.002974,0.117794,0.003996,0.002849,0.009315,0.030253,0.002277,0.023740,Bunlabelledtest__
0.011729,0.011686,2.594878,0.057295,0.131143,0.009790,0.019122,0.016289,-28.669748,3.722968,-0.859099,1.230175,0.012014,0.207381,0.283786,-0.025920,0.250787,-0.032444,-0.082147,0.064386,-0.035156,0.007259,0.001225,0.107815,0.008984,0.025502,0.002975,0.157081,0.001580,0.001391,0.009639,0.039051,0.001415,0.052279,-0.000250,-0.000021,0.015968,-0.002225,-0.005720,-0.000259,-0.001571,0.000794,0.056131,0.100891,-0.048514,-0.044704,-0.069708,-0.035600,-0.049384,-0.024746,-0.033023,-0.026306,-0.019016,-0.008235,0.007491,0.000458,0.000053,-0.003533,0.004131,-0.002291,0.000843,0.003995,-0.000019,0.000265,-0.000173,0.001076,0.000278,-0.000233,0.005085,0.022313,0.698720,0.025801,0.047342,0.014905,0.008710,0.010761,1.598625,0.662940,0.702262,0.563051,0.385430,0.241474,0.189415,0.194015,0.128330,0.255416,0.165512,0.112932,0.147914,0.005626,0.001144,0.046076,0.010026,0.010626,0.002555,0.049068,0.002296,0.000846,0.008122,0.036109,0.000972,0.011481,0.006556,0.032552,1.024653,0.034216,0.063004,0.021420,0.010814,0.015756,2.060128,0.856260,0.826841,0.871370,0.538205,0.387055,0.283572,0.271832,0.209201,0.340893,0.210797,0.176472,0.203435,0.008880,0.001507,0.073695,0.012634,0.019247,0.003849,0.074948,0.003435,0.001222,0.012202,0.050247,0.001475,0.019656,Bunlabelledtest__
0.007160,0.015091,2.591533,0.069900,0.155930,0.014889,0.023929,0.008091,-30.636401,3.396597,-0.209961,1.176013,0.183998,0.303972,0.254047,-0.107157,0.186396,0.133114,0.035490,0.071326,-0.037926,0.005378,0.000385,0.123258,0.002698,0.028361,0.001640,0.166755,0.000374,0.001427,0.007427,0.045067,0.000537,0.060362,-0.000071,0.000521,-0.010062,0.000752,0.000810,0.000293,0.000174,-0.000085,0.107306,-0.007823,0.008940,-0.012178,-0.001896,-0.003985,-0.003802,0.007731,0.000631,0.001912,0.003930,0.002284,0.004324,-0.000463,-0.000003,-0.000251,-0.000091,-0.000359,0.000003,0.001482,0.000000,-0.000006,-0.000015,0.000634,0.000003,0.000268,0.003401,0.039459,0.501127,0.033879,0.049210,0.019055,0.015130,0.003853,2.394138,0.756136,0.608544,0.440387,0.252410,0.166342,0.155204,0.234208,0.143961,0.135963,0.144870,0.145718,0.134596,0.005778,0.000373,0.068859,0.002881,0.021411,0.001772,0.081162,0.000381,0.001322,0.007262,0.033993,0.000561,0.017192,0.003992,0.054359,0.694157,0.046377,0.068720,0.026397,0.018238,0.004721,2.606560,1.046269,0.777248,0.571807,0.345823,0.231546,0.207718,0.291225,0.210448,0.200645,0.187383,0.190250,0.177963,0.008804,0.000535,0.095414,0.003777,0.030664,0.002387,0.116791,0.000512,0.001742,0.010328,0.048648,0.000773,0.024103,Bunlabelledtest__
0.006684,0.007411,2.650142,0.075347,0.165256,0.016680,0.023114,0.007678,-30.869732,3.281813,-0.037634,1.160864,0.218601,0.268614,0.155256,-0.111887,0.171368,0.104495,0.048956,0.094184,-0.026745,0.004624,0.000345,0.131269,0.003675,0.024513,0.002037,0.182123,0.000270,0.001173,0.006295,0.038467,0.000423,0.065262,-0.000076,0.000060,-0.017419,0.000397,0.000602,0.000094,0.000158,-0.000058,0.043370,-0.009205,0.007989,-0.007644,0.005074,0.003079,0.000820,0.009939,0.003041,-0.000238,0.001114,-0.000080,0.001221,-0.000032,-0.000002,0.000583,-0.000310,0.000250,-0.000033,-0.000101,-0.000006,-0.000024,-0.000093,-0.000028,-0.000001,0.000061,0.003187,0.017871,0.438432,0.032894,0.046178,0.019103,0.015282,0.003040,1.960820,0.655507,0.572854,0.432674,0.232986,0.182224,0.159092,0.235525,0.144134,0.134556,0.137592,0.142097,0.143264,0.005350,0.000329,0.078271,0.005078,0.018142,0.002216,0.085250,0.000256,0.001253,0.006045,0.031920,0.000458,0.017754,0.003606,0.025245,0.565489,0.045915,0.064900,0.026609,0.019274,0.003566,2.172198,0.952016,0.718327,0.570442,0.311346,0.261021,0.219465,0.303757,0.203365,0.185810,0.189521,0.203192,0.188472,0.007471,0.000451,0.117468,0.006599,0.024879,0.003013,0.118703,0.000350,0.001667,0.008456,0.044895,0.000597,0.022661,Bunlabelledtest__
0.009022,0.010064,2.555133,0.077459,0.169013,0.017660,0.020503,0.013952,-29.410763,3.639631,-0.199978,0.473085,0.171936,0.362510,0.046745,-0.221735,0.090964,0.086757,-0.074242,0.060841,0.037385,0.006168,0.001341,0.113777,0.006033,0.023875,0.007020,0.168642,0.000758,0.004595,0.009188,0.033070,0.002275,0.057272,-0.000136,0.000007,-0.014021,0.001182,0.002264,0.000355,0.000213,-0.000387,0.038829,-0.044399,0.037580,-0.026860,0.013529,-0.014960,-0.001563,0.001908,-0.003380,0.006082,-0.007663,0.002114,0.000855,-0.000376,-0.000049,0.000857,-0.000073,-0.000576,-0.000109,0.003382,-0.000030,-0.000154,-0.000270,-0.000063,-0.000022,0.000942,0.004724,0.016156,0.518615,0.029916,0.039512,0.015690,0.013478,0.009331,2.020963,0.871764,0.692350,0.364349,0.322312,0.236133,0.163682,0.257317,0.146533,0.132909,0.148726,0.124898,0.133469,0.006819,0.002246,0.072673,0.007142,0.016912,0.006855,0.081465,0.000866,0.005351,0.009564,0.025692,0.003294,0.020954,0.005199,0.023515,0.693839,0.037886,0.048536,0.020291,0.018388,0.010313,2.489672,1.066553,0.862814,0.339852,0.326080,0.259362,0.228621,0.322137,0.192078,0.178311,0.201887,0.171025,0.207144,0.007092,0.003170,0.106553,0.008203,0.024350,0.008409,0.091501,0.001123,0.007930,0.013532,0.032514,0.004210,0.021429,Bunlabelledtest__
0.003403,0.026747,2.493218,0.097013,0.196677,0.033173,0.033131,0.005853,-28.407650,2.672933,0.164910,0.761958,0.425521,0.358620,0.172573,0.104209,0.221666,0.226711,0.012202,0.035274,0.049698,0.002595,0.000395,0.114417,0.002065,0.015868,0.001498,0.246229,0.000150,0.000816,0.003027,0.036155,0.000434,0.077663,-0.001475,0.000318,0.090417,-0.000873,-0.000435,-0.001675,-0.000276,-0.000295,0.049837,-0.023772,0.022565,-0.009736,-0.002661,0.006959,-0.009295,-0.004583,-0.002586,0.005336,-0.019481,-0.025408,0.005186,-0.000064,-0.000058,-0.005585,-0.000171,-0.002420,-0.000098,0.021345,-0.000024,-0.000065,-0.000098,-0.004575,-0.000024,0.004369,0.001991,0.044037,0.366009,0.036174,0.032311,0.041540,0.021990,0.004183,2.157017,0.285001,0.376560,0.251101,0.238121,0.246068,0.190673,0.166570,0.104391,0.120619,0.141908,0.103564,0.107772,0.003565,0.000554,0.055964,0.002964,0.010155,0.002158,0.111465,0.000185,0.001089,0.002933,0.034960,0.000577,0.021745,0.004010,0.064292,0.385752,0.050231,0.044606,0.062166,0.030601,0.006210,2.894472,0.386667,0.592134,0.358670,0.351776,0.347110,0.307516,0.262843,0.148491,0.164897,0.194388,0.131464,0.166087,0.005586,0.000784,0.087179,0.004466,0.012686,0.003324,0.129278,0.000241,0.001633,0.004300,0.045847,0.000872,0.023253,Bunlabelledtest__
